Date,Quarter,Year,GDP_Nominal,GDP_Real,GDP_Growth_Rate
2020-03-31,Q1,2020,12024835.71,12024835.71,1.93
2020-06-30,Q2,2020,12191939.61,12102176.89,2.76
2020-09-30,Q3,2020,12107698.26,11930069.58,1.88
2020-12-31,Q4,2020,12158514.35,11891936.82,2.38
2021-03-31,Q1,2021,12216526.28,11860705.13,2.27
2021-06-30,Q2,2021,12377575.4,11928588.3,1.77
2021-09-30,Q3,2021,12373892.16,11837241.0,1.04
2021-12-31,Q4,2021,12236898.89,11620002.68,1.72
2022-03-31,Q1,2022,12434158.44,11720386.88,2.16
2022-06-30,Q2,2022,12601360.0,11790539.11,1.29
2022-09-30,Q3,2022,12682312.36,11778917.6,1.89
2022-12-31,Q4,2022,12574984.09,11593246.66,1.29
2023-03-31,Q1,2023,12707276.86,11628958.43,2.06
2023-06-30,Q2,2023,12840146.75,11664040.18,2.19
2023-09-30,Q3,2023,12831178.59,11570077.37,1.85
2023-12-31,Q4,2023,12794954.5,11452469.75,2.93
2024-03-31,Q1,2024,12988511.06,11540123.85,1.47
2024-06-30,Q2,2024,13194777.61,11637075.98,1.39
2024-09-30,Q3,2024,13128877.91,11493706.39,1.02
